University,Country,WorldRank,Latitude,Longitude,Type
Technical University of Berlin,Germany,301,52.5125,13.3269,Top 500
University of Stuttgart,Germany,301,48.7815,9.1736,Top 500
University of Marburg,Germany,301,50.8107,8.7742,Top 500
National and Kapodistrian University of Athens,Greece,301,37.9682,23.7787,Top 500
University of Tehran,"Iran, Islamic Rep. of",301,35.7058,51.4021,Top 500
University College Dublin,Ireland,301,53.3065,-6.2255,Top 500
University of Pavia,Italy,301,45.1867,9.1571,Top 500
University of Florence,Italy,301,43.7776,11.2598,Top 500
Keio University,Japan,301,35.65,139.74,Top 500
Okayama University,Japan,301,34.69,133.92,Top 500
Chiba University,Japan,301,35.63,140.1,Top 500
Yonsei University,"Korea, Republic of",301,37.57,126.94,Top 500
Ulsan National Institute of Science and Technology,"Korea, Republic of",301,35.57,129.19,Top 500
Kyung Hee University,"Korea, Republic of",301,37.24,127.08,Top 500
University of Malaya,Malaysia,301,3.12,101.65,Top 500
Eindhoven University of Technology,Netherlands,301,51.45,5.49,Top 500
University of Otago,New Zealand,301,-45.86,170.51,Top 500
Victoria University of Wellington,New Zealand,301,-41.29,174.77,Top 500
University of Warsaw,Poland,301,52.24,21.02,Top 500
University of Porto,Portugal,301,41.15,-8.62,Top 500
Saint Petersburg State University,Russian Federation,301,59.94,30.3,Top 500
King Fahd University of Petroleum & Minerals,Saudi Arabia,301,26.31,50.15,Top 500
University of Belgrade,Serbia,301,44.82,20.46,Top 500
University of Cape Town,South Africa,301,-33.96,18.46,Top 500
Autonomous University of Barcelona,Spain,301,41.5,2.1,Top 500
University of the Basque Country,Spain,301,43.33,-2.97,Top 500
Autonomous University of Madrid,Spain,301,40.55,-3.69,Top 500
Linkoping University,Sweden,301,58.4,15.58,Top 500
University of Fribourg,Switzerland,301,46.81,7.15,Top 500
National Cheng Kung University,"Taiwan, China",301,23,120.22,Top 500
University of St Andrews,United Kingdom,301,56.34,-2.79,Top 500
University of Surrey,United Kingdom,301,51.24,-0.59,Top 500
University of York,United Kingdom,301,53.95,-1.05,Top 500
Queen's University Belfast,United Kingdom,301,54.58,-5.93,Top 500
The University of Dundee,United Kingdom,301,56.46,-2.98,Top 500
Lancaster University,United Kingdom,301,54.01,-2.79,Top 500
Boston College,United States,301,42.34,-71.17,Top 500
Drexel University,United States,301,39.96,-75.19,Top 500
Indiana University-Purdue University at Indianapolis,United States,301,40.42,-86.92,Top 500
Louisiana State University - Baton Rouge,United States,301,30.41,-91.18,Top 500
Medical University of South Carolina,United States,301,32.79,-79.95,Top 500
Stony Brook University,United States,301,40.9,-73.12,Top 500
Temple University,United States,301,39.98,-75.15,Top 500
The University of New Mexico - Albuquerque,United States,301,35.08,-106.62,Top 500
The University of Texas at Dallas,United States,301,32.99,-96.75,Top 500
The University of Texas Health Science Center at Houston,United States,301,29.7,-95.4,Top 500
The University of Texas Health Science Center at San Antonio,United States,301,29.51,-98.58,Top 500
"University at Buffalo, the State University of New York",United States,301,43,-78.79,Top 500
University of Central Florida,United States,301,28.6,-81.2,Top 500
University of Cincinnati,United States,301,39.13,-84.52,Top 500
University of Connecticut,United States,301,41.81,-72.25,Top 500
University of Kentucky,United States,301,38.03,-84.5,Top 500
University of North Texas,United States,301,33.21,-97.15,Top 500
University of Oregon,United States,301,44.04,-123.07,Top 500
University of South Carolina - Columbia,United States,301,33.99,-81.03,Top 500
University of Vermont,United States,301,44.48,-73.2,Top 500
Washington State University,United States,301,46.73,-117.15,Top 500
Yeshiva University,United States,301,40.85,-73.93,Top 500
University of Buenos Aires,Argentina,201,-34.6,-58.37,Top 500
