University,WorldRank,Year,Country
University of Wisconsin - Madison,28,2016,United States
"University of Minnesota, Twin Cities",28,2010,United States
University of Wisconsin - Madison,28,2018,United States
University of Illinois at Urbana-Champaign,28,2014,United States
University of Wisconsin - Madison,28,2017,United States
Washington University in St. Louis,28,2005,United States
University of Toronto,28,2013,Canada
"University of Minnesota, Twin Cities",28,2009,United States
Washington University in St. Louis,28,2006,United States
Washington University in St. Louis,28,2007,United States
"University of Minnesota, Twin Cities",28,2011,United States
Northwestern University,28,2014,United States
"University of Minnesota, Twin Cities",28,2008,United States
New York University,29,2011,United States
New York University,29,2005,United States
New York University,29,2017,United States
Washington University in St. Louis,29,2009,United States
University of Copenhagen,29,2018,Denmark
Northwestern University,29,2007,United States
Northwestern University,29,2010,United States
University of Illinois at Urbana-Champaign,29,2015,United States
New York University,29,2006,United States
New York University,29,2016,United States
Washington University in St. Louis,29,2008,United States
"University of Minnesota, Twin Cities",29,2012,United States
"University of Minnesota, Twin Cities",29,2013,United States
Rockefeller University,30,2005,United States
Washington University in St. Louis,30,2010,United States
New York University,30,2007,United States
Rockefeller University,30,2007,United States
Northwestern University,30,2009,United States
Northwestern University,30,2012,United States
Northwestern University,30,2013,United States
"University of Minnesota, Twin Cities",30,2015,United States
University of Copenhagen,30,2016,Denmark
University of Copenhagen,30,2017,Denmark
Northwestern University,30,2008,United States
Rockefeller University,30,2018,United States
"University of Minnesota, Twin Cities",30,2014,United States
Northwestern University,30,2011,United States
Rockefeller University,30,2006,United States
University of Illinois at Urbana-Champaign,30,2016,United States
University of North Carolina at Chapel Hill,30,2018,United States
University of British Columbia,31,2017,Canada
Washington University in St. Louis,31,2012,United States
Northwestern University,31,2005,United States
New York University,31,2008,United States
Washington University in St. Louis,31,2011,United States
New York University,31,2010,United States
Duke University,31,2009,United States
Duke University,31,2014,United States
Duke University,31,2013,United States
Duke University,31,2015,United States
Duke University,31,2006,United States
Duke University,32,2008,United States
University of Colorado at Boulder,32,2011,United States
"University of California, Santa Barbara",32,2010,United States
Duke University,32,2007,United States
The University of Edinburgh,32,2017,United Kingdom
New York University,32,2018,United States
The University of Edinburgh,32,2018,United Kingdom
Washington University in St. Louis,32,2013,United States
"University of Minnesota, Twin Cities",32,2006,United States
Kyoto University,32,2016,Japan
Duke University,32,2005,United States
Rockefeller University,32,2009,United States
Washington University in St. Louis,32,2015,United States
Rockefeller University,32,2008,United States
Rockefeller University,32,2012,United States
Washington University in St. Louis,32,2014,United States
New York University,32,2009,United States
"University of Minnesota, Twin Cities",32,2005,United States
University of Colorado at Boulder,32,2010,United States
University of North Carolina at Chapel Hill,33,2017,United States
