University,WorldRank,Country,Latitude,Longitude
Nanyang Technological University,96,Singapore,0.0000,0.0000
University of Ljubljana,401,Slovenia,0.0000,0.0000
University of the Witwatersrand,201,South Africa,0.0000,0.0000
University of Cape Town,301,South Africa,0.0000,0.0000
Stellenbosch University,401,South Africa,0.0000,0.0000
University of Pretoria,401,South Africa,0.0000,0.0000
University of Barcelona,151,Spain,0.0000,0.0000
Pompeu Fabra University,201,Spain,0.0000,0.0000
University of Granada,201,Spain,0.0000,0.0000
Complutense University of Madrid,201,Spain,0.0000,0.0000
Autonomous University of Barcelona,301,Spain,0.0000,0.0000
University of the Basque Country,301,Spain,0.0000,0.0000
Autonomous University of Madrid,301,Spain,0.0000,0.0000
University of Valencia,401,Spain,0.0000,0.0000
University of Santiago Compostela,401,Spain,0.0000,0.0000
Polytechnic University of Valencia,401,Spain,0.0000,0.0000
Karolinska Institute,44,Sweden,0.0000,0.0000
Uppsala University,63,Sweden,0.0000,0.0000
Stockholm University,77,Sweden,0.0000,0.0000
University of Gothenburg,101,Sweden,0.0000,0.0000
Lund University,101,Sweden,0.0000,0.0000
KTH Royal Institute of Technology,201,Sweden,0.0000,0.0000
Chalmers University of Technology,201,Sweden,0.0000,0.0000
Swedish University of Agricultural Sciences,201,Sweden,0.0000,0.0000
Linkoping University,301,Sweden,0.0000,0.0000
Umea University,401,Sweden,0.0000,0.0000
Swiss Federal Institute of Technology Zurich,19,Switzerland,0.0000,0.0000
University of Zurich,54,Switzerland,0.0000,0.0000
University of Geneva,59,Switzerland,0.0000,0.0000
Swiss Federal Institute of Technology Lausanne,81,Switzerland,0.0000,0.0000
University of Basel,96,Switzerland,0.0000,0.0000
University of Bern,101,Switzerland,0.0000,0.0000
University of Lausanne,101,Switzerland,0.0000,0.0000
University of Fribourg,301,Switzerland,0.0000,0.0000
Sun Yat-sen University,101,"Taiwan, China",0.0000,0.0000
National Taiwan University,151,"Taiwan, China",0.0000,0.0000
National Cheng Kung University,301,"Taiwan, China",0.0000,0.0000
National Tsing Hua University,401,"Taiwan, China",0.0000,0.0000
Istanbul University,401,Turkey,0.0000,0.0000
University of Cambridge,3,United Kingdom,52.2043,0.1149
University of Oxford,7,United Kingdom,0.0000,0.0000
University College London,17,United Kingdom,0.0000,0.0000
Imperial College London,24,United Kingdom,0.0000,0.0000
The University of Edinburgh,32,United Kingdom,0.0000,0.0000
The University of Manchester,34,United Kingdom,0.0000,0.0000
King's College London,56,United Kingdom,0.0000,0.0000
University of Bristol,74,United Kingdom,0.0000,0.0000
University of Warwick,101,United Kingdom,0.0000,0.0000
University of Southampton,101,United Kingdom,0.0000,0.0000
